id_item,id_codi,name,brand,price,img
82744,396554,FOX SOCKS (beige),Wildbricks,7000,http://img.mapssi.com/newItem/Wildbricks/FOXSOCKSbeige/20180330182929web.jpg
82884,396554,[당일출고]Layla endless love Training pure SET-UP T12 Off white,DiamondLayla,"39000
→35100(10%)",http://img.mapssi.com/newItem/DiamondLayla/LaylaendlessloveTrainingpureSETUPT12Offwhite/20180404174732web.jpg
9795,396464,SOLID COLOR SOCKS_MUSTARD,SPINU,"6000
→5400(10%)",http://img.mapssi.com/newItem/SPINU/SOLIDCOLORSOCKSMUSTARD/201601131502171mu.png
58234,396464,트룹 보스턴백 TRP0263,troop,"96000
→86400(10%)",http://img.mapssi.com/newItem/troop/%EC%B6%9C%EA%B3%A035%EC%9D%BC%ED%8A%B8%EB%A3%B9%EB%B3%B4%EC%8A%A4%ED%84%B4%EB%B0%B1TRP0263/20161115021913o6101.jpg
66802,396464,스탠다드 무지 티셔츠(화이트),CAMELWORK,"22000
→13000(41%)",http://img.mapssi.com/newItem/CAMELWORK/%EB%B9%84%EB%B3%80%ED%98%95%ED%8B%B0%EC%85%94%EC%B8%A0%ED%99%94%EC%9D%B4%ED%8A%B8/20170209174232o61.jpg
73921,396464,아프로 레귤러 로우데님,DCLIP,"59000
→35400(40%)",http://img.mapssi.com/newItem/DCLIP/%EC%95%84%ED%94%84%EB%A1%9C%EB%A0%88%EA%B7%A4%EB%9F%AC%EB%A1%9C%EC%9A%B0%EB%8D%B0%EB%8B%98/20170612190747o604.jpg
81900,396464,[BSQT] 992 브라스하트 콜프 6홀 더비 워커 애쉬브라운,BSQT,"89000
→65500(27%)",http://img.mapssi.com/newItem/BSQT/BSQT992%EB%B8%8C%EB%9D%BC%EC%8A%A4%ED%95%98%ED%8A%B8%EC%BD%9C%ED%94%846%ED%99%80%EB%8D%94%EB%B9%84%EC%9B%8C%EC%BB%A4%EC%95%A0%EC%89%AC%EB%B8%8C%EB%9D%BC%EC%9A%B4/20180205204232web.jpg
82907,396464,코지 오버핏 체크 셔츠 (2Color),ESN,"43000
→30000(31%)",http://img.mapssi.com/newItem/ESN/%EC%BD%94%EC%A7%80%EC%98%A4%EB%B2%84%ED%95%8F%EC%B2%B4%ED%81%AC%EC%85%94%EC%B8%A02Color/20180405151116web.jpg
10996,395599,2016 S/S 9부 컷팅 디스트로이드 데님 (HOLC1504),WHAT9,"87000
→78300(10%)",http://img.mapssi.com/newItem/WHAT9/2016SS9%EB%B6%80%EC%BB%B7%ED%8C%85%EB%94%94%EC%8A%A4%ED%8A%B8%EB%A1%9C%EC%9D%B4%EB%93%9C%EB%8D%B0%EB%8B%98HOLC1504/20160404211542DH1.jpg
61632,395599,1383 Sergeant White,AMONmovement,168000,http://img.mapssi.com/newItem/AMONmovement/1383SergeantWhite/20161118005824webfvv.jpg
